,des_id,par_idx,text,weak_label,gold_label
4669,348,8,Work Location: In person,location_sched,location_sched
443,36,11,"What we are looking for... High School Diploma or equivalent + Must be working towards a Bachelor's degree with more than 60% of the required credits completed.
Actively enrolled in an undergraduate or graduate degree program in Software Engineering, Computer Science, Data Science, Systems Engineering, Physics, or related field.
Demonstrated C++ and/or Python development experience.
Demonstrated Matlab experience
Demonstrated ability to quickly learn and exercise new tools
Ability to write technical documentation
Ability to work in a collaborative team environment
Ability to work on-site in Pocasset, MA #LI-MH1
Bonus Points for....
Experience with robotics
Interest in maritime robotics
Physical Requirements",comp_benefits,job
59254,4199,19,"Why Join ByteDance Inspiring creativity is at the core of ByteDance's mission. Our innovative products are built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and enrich life - a mission we work towards every day.",dei_legal,blurb
1233,101,4,"You Have: 2+ years of experience with scripting or scientific languages, including Python, R, C++, or Java
2+ years of experience with data analysis and data analysis technology, including PowerBI, ArcGIS, or PowerApps
2+ years of experience with applying machine learning techniques and the key parameters that affect their performance in interacting with a technical audience on technical problems
Experience working in a highly collaborative, team–oriented environment, and balancing long– and short–term taskings with accessing, building, and maintaining databases for structured and unstructured datasets
Experience with using Microsoft Excel and Access
Knowledge of statistical measures, including confidence intervals and the significance of error measurements, development, or evaluation data sets
Ability to obtain a Secret clearance
Bachelor’s degree",job,job
55641,3945,2,"The primary responsibilities of this role are to: Develop code in multiple programming languages (e.g., Python, R, etc.);
Support mining of process data from IT systems and databases;
Develop workflows for mining, pre-processing and visualization of data;
Evaluate and apply different machine learning and advanced statistical methods;
Communicate outcome of development activities to the team;
Document project outcome in a short technical report.",job,job
40440,2889,6,"Pay: $100,000.00 - $120,000.00 per year Benefits:",comp_benefits,comp_benefits
232,21,35,UC San Diego Health maintains a marijuana and drug free environment. Employees may be subject to drug screening.,dei_legal,dei_legal
10097,739,23,"By submitting this form, you consent to receive text messages related to available jobs and information about working at UND. Message & data rates may apply. Message frequency varies. Unsubscribe at any time by replying STOP or clicking the unsubscribe link (where available). By submitting your information, you acknowledge that you have read and agree to our Terms of Use.",blurb,dei_legal
8296,609,5,"What You’ll Do: Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies",job,job
66614,4713,2,"Here is a summary of what Princess is looking for in its Specialist, Media Solutions. Is this you?",job,job
51128,3654,8,"Continuous Learning and Development Stay abreast of industry trends, best practices, and emerging technologies in data analytics.
Engage in training sessions and professional development initiatives focused on enhancing both technical expertise and people skills, as well as deepening knowledge of brokerage operations
Share knowledge and insights with colleagues to foster a culture of continuous learning.",job,job
28443,1961,46,"Verbal: Ability to understand meanings of words and ideas associated with them, and to use them effectively. To comprehend language, to understand relationships between words, and to understand meanings of whole sentences and paragraphs. To present information or ideas clearly. 3",job,job
8095,593,1,"We're seeking a skilled PySpark Data Reconciliation Engineer to join our team and drive the development of robust data reconciliation solutions within our financial systems. You will be responsible for designing, implementing, and maintaining PySpark-based applications to perform complex data reconciliations, identify and resolve discrepancies, and automate data matching processes. The ideal candidate possesses strong PySpark development skills, experience with data reconciliation techniques, and the ability to integrate with diverse data sources and rules engines.",dei_legal,job
52130,3724,22,​ ​,job,job
34984,2488,5,"We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.",dei_legal,dei_legal
33069,2341,3,"Essential Duties & Responsibilities: Gather, analyze, and compile data needed to identify trends and patterns, then make recommendations for business actions, efficiently and effectively.",job,job
42036,3006,6,· Lead or support the implementation of Corrective and Preventive Actions (CAPAs).,job,job
6387,471,18,​ 3. Exercising sound judgment.,job,job
48576,3483,12,"​ The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",comp_benefits,comp_benefits
65454,4639,9,"Skills & Strengths High attention to detail in underwriting analysis and documentation
Strong interpersonal communication for working with staff, dealerships, and members
Analytical mindset with the ability to interpret credit data and draw sound conclusions
Self-motivated with the ability to manage workload independently and meet deadlines
Effective in working collaboratively and resolving member and internal inquiries
Proficient with standard office technology and systems (ten-key, PC, keyboarding)",job,job
47144,3390,11,"Pinterest is an equal opportunity employer and makes employment decisions on the basis of merit. We want to have the best qualified people in every job. All qualified applicants will receive consideration for employment without regard to race, color, ancestry, national origin, religion or religious creed, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, age, marital status, status as a protected veteran, physical or mental disability, medical condition, genetic information or characteristics (or those of a family member) or any other consideration made unlawful by applicable federal, state or local laws. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you require a medical or religious accommodation during the job application process",dei_legal,dei_legal
22685,1552,7,"With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.",dei_legal,dei_legal
58826,4169,37,Benefits Benefits Summary,comp_benefits,comp_benefits
60718,4307,8,Taking Care of You & Your Family Your health and well-being are important to us. That’s why we invest in our team members by offering competitive benefits to support their health and financial wellness.,comp_benefits,comp_benefits
34031,2416,1,"Key Responsibilities: 50% Planning Process: Supports the strategic and operational planning cycle through building models, performing business analysis and benchmarking studies. Works closely with the business to help communicate the strategy and planning outcomes.
40% Strategic Projects: Analyzes business problems, structures the issue and performs analyses. Synthesizes data to help develop a solution, creates documents communicating solution using structured communications principles, helps present solution to team and stakeholders, and works with stakeholders to implement the solution.
10% Competitive and Market Intelligence: Perform research on key competitors and market trends; own regular reporting on one or more data sources",job,job
11321,827,5,Job Description: Essential Responsibilities:,job,job
40162,2870,2,"https://jobs.lever.co/cti-md/9501b47e-aaa9-4b02-a0f4-ceb6b959f201
Required:
Must be a US Citizen
Must have TS/SCI clearance w/ active polygraph
This position is open to multiple levels of years of experience; two (02) years within the last five (05) years must be directly related to the job you are applying for:
Level 04 requires a minimum seventeen (17) years of experience w/ Degree
Level 03 requires a minimum twelve (12) years of experience w/ Degree
Level 02 requires a minimum five (05) years of experience w/ Degree
Degree in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g., physics, chemistry, biology, astronomy), or other science disciplines with a substantial computational component (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 300 level or higher; such as linear algebra, probability and statistics, machine learning) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper-level math courses designated as elementary or basic do not count.
Relevant experience must be in designing/implementing machine learning, data science, advanced analytical algorithms, programming (skill in at least one high-level language (e.g., Python) and skill in at least one mid-level language (e.g. C)), data mining, advanced statistical analysis (e.g. statistical foundations of machine learning, statistical approaches to missing data, time series), advanced mathematical foundations (e.g. numerical methods, graph theory), artificial intelligence, workflow and reproducibility, data management and curation, data modeling and assessment (e.g. model selection, evaluation, and sensitivity.
Employ some combination (2 or more) of the following areas: Foundations (Mathematical, Computational, Statistical); Data Processing (Data management and curation, data description and visualization, workflow, and reproducibility); Modeling, Inference, and Prediction (Data modeling and assessment, domain-specific considerations).
Devise strategies for extracting meaning and value from large datasets.
Make and communicate principled conclusions from data using elements of mathematics, statistics, computer science, and application specific knowledge.
Through analytic modeling, statistical analysis, programming, and/or another appropriate scientific method, develop and implement qualitative and quantitative methods for characterizing, exploring, and assessing large datasets in various states of organization, cleanliness, and structure that account for the unique features and limitations inherent to Agency data holdings.
Translate practical mission needs and analytic questions related to large datasets into technical requirements and, conversely, assist others with drawing appropriate conclusions from the analysis of such data.
Effectively communicate complex technical information to non-technical audiences.
Make informed recommendations regarding competing technical solutions by maintaining awareness of the constantly shifting Agency collection, processing, storage and analytic capabilities and limitations.
These Qualifications Would be Nice to Have:
Fully Cleared polygraph is preferred
Knowledge of working with Big Data, dataflows, Machine Learning/Artificial Intelligence familiarity.
Analytics in GME, Jupyter notebooks, and Spark.
The pay range for this job, with multi-levels, is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.
The benefits package:",comp_benefits,comp_benefits
55092,3919,2,About the Role We're seeking a Staff Machine Learning Engineer to lead the development of state-of-the-art ML systems that personalize and optimize credits and refund decisions. This work is critical to balancing cost efficiency with long-term customer retention and experience.,job,job
5684,424,0,"Location(s): Franklin, TN Job Schedule: Full-time",location_sched,location_sched
15470,1118,14,"Strong engineering skills with expertise in R or Python and fluency in data manipulation (SQL, Pandas) and machine learning (scikit-learn, XGBoost, Keras/Tensorflow) tools",job,job
35020,2490,0,"Thank you for considering IT Concepts dba Kentro, where innovation drives opportunity and collaboration leads to success. Our dynamic community of experts is fully committed to advancing our customers' missions, fostering professional growth, and making a positive impact on our communities.",job,job
25680,1748,1,"About Us Worksite is a Professional Employer Organization (PEO) located in North Port, FL. We partner with other businesses to provide a one-stop solution for payroll and employee benefits administration, workers’ compensation, safety, and HR consulting. We are proud to be recognized by Florida Trend Magazine as one of the best mid-sized companies to work for in Florida for 8 years in a row, based on our employee ratings.",blurb,blurb
49252,3532,7,"Remote: This role is based remotely but if you live within a 50-mile radius of [Mountain View, Detroit, Warren, Milford], you are expected to report to that location three times a week, at minimum.",location_sched,location_sched
31976,2246,5,"Preferred Qualifications Experience deploying AI into developer tooling (IDE plug-ins, CI/CD pipelines).
Active contributions to open-source AI/ML projects or publications in top-tier academic conferences.
A broad knowledge of mathematical modeling beyond ML, such as combinatorial optimization or operations research.",job,job
16790,1193,11,Salary Range: $37.50 - $42.30 per hour. Individual salary will vary based on skills and experience. Discretionary incentive compensation may be available based on company and individual performance.,comp_benefits,comp_benefits
25671,1747,3,"The salary range for this position is $120,000 - $150,000 and is eligible for an annual discretionary bonus based on individual and company performance. Actual pay will depend on experience. This position is FLSA status exempt. We offer hybrid work flexibility, and employees have access to physical offices in Seattle and Spokane, Washington, and Portland and Astoria, Oregon. Employees may take advantage of flex/alternative work schedules.",comp_benefits,comp_benefits
56495,3994,9,"#LI-MV1 This role requires access to U.S. export-controlled information. Therefore, for applicants who are not U.S. lawful permanent residents, U.S. Citizens, or have been granted asylee or refugee status (i.e., not a protected individual under the Immigration and Naturalization Act, 8 U.S.C. 1324b(a)(3), otherwise known as a U.S. Person), employment will be contingent on the ability to obtain authorization for access to U.S. export-controlled information from the U.S. Government.",job,job
69013,4888,4,"About You Bachelor’s degree preferred.
At least 5 years of experience in claims management, particularly in workers' compensation, general liability, and auto liability claims.
At least 5 years of experience in reviewing litigated claims and developing strategies to mitigate exposure.
Demonstrated ability to prepare and present stewardship reports, identifying trends and comparing results against industry standards.
Exceptional analytical, time management, and organizational skills, including ability to multi-task, prioritize and manage large volumes of information.
Advanced proficiency with Microsoft Word, Outlook, Excel and PowerPoint
Analytical Skills: Strong ability to assess claims and potential exposures, with a keen eye for detail and accuracy in reserve analysis.
Communication Skills: Excellent verbal and written communication skills to effectively interact with clients and stakeholders.
Problem-Solving: Proactive approach to developing solutions and action plans for claim resolution and exposure mitigation.
Industry Knowledge: In-depth understanding of workers' compensation, general liability, and auto liability claims, along with familiarity with industry standards.
Client Management: Ability to manage diverse client needs and provide tailored solutions to enhance their claim management strategies.
Presentation Skills: Ability to speak to a diverse audience in presenting data, key performance indicator and risk management strategies.",dei_legal,dei_legal
44620,3203,12,"Elder Research, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",dei_legal,dei_legal
272,25,0,"84.51° Overview: 84.51° is a retail data science, insights and media company. We help The Kroger Co., consumer packaged goods companies, agencies, publishers and affiliates create more personalized and valuable experiences for shoppers across the path to purchase.",job,job
57029,4028,1,"EXAMPLE OF DUTIES
Strong programming skills in Python, R, or similar languagesExperience with machine learning libraires such as TensorFlow, Scikit-Learn, or PyTorchKnowledge of data visualization tools like Tabeleau, PowerBI, or Matplotlib",job,job
30860,2156,11,"Preferred Familiarity with various programming languages, such as Python
Knowledge of project management tools, project methodology, technique and practices is a plus.
Previous experience working with cross-functional teams
Salary and Benefits",comp_benefits,comp_benefits
4994,372,0,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.",blurb,blurb
59830,4239,5,Prepare and analyze benefit participation data in support of Annual Open Enrollment.,comp_benefits,comp_benefits
20065,1395,9,"​ Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.",comp_benefits,comp_benefits
